"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"Versions canoniques: Manquant","Avertissement","Moyenne","12","92,310","Les pages qui ne disposent d'aucune URL canonique présente, soit sous forme d'élément de lien, soit via l'en-tête HTTP. Si une page n'indique pas d'URL canonique, Google identifiera ce qu'il pense être la meilleure version ou URL. Cela peut entraîner une imprévisibilité du classement lorsque plusieurs versions sont découvertes, et c'est pourquoi toutes les URL devraient généralement indiquer une version canonique.","Indiquez une URL canonique pour chaque page afin d'éviter toute imprévisibilité potentielle du classement si plusieurs versions de la même page sont découvertes sur des URL différentes.",""
"Meta description: Plus de 985 pixels","Opportunité","Faible","1","7,690","Pages dont la méta-description dépasse la limite de longueur en pixels estimée par Google pour les extraits. La longueur d'extrait de Google est en fait basée sur des limites en pixels, plutôt que sur une longueur en caractères. Le SEO Spider tente de faire correspondre les derniers points de troncature en pixels dans les SERP, mais il s'agit d'une approximation et Google les ajuste fréquemment.","Rédigez des méta-descriptions concises afin que des mots importants ne soient pas tronqués dans les résultats de recherche et ne soient pas visibles pour les utilisateurs.",""
"H2: Manquant","Avertissement","Faible","1","7,690","Pages dont le <h2> est manquant, dont le contenu est vide ou qui ont un espace blanc. Les sous-titres <h2> sont souvent utilisés pour décrire des sections ou des sujets dans un document. Ils servent de repères pour l'utilisateur et peuvent aider les moteurs de recherche à comprendre la page.","Envisagez d'utiliser des <h2> logiques et descriptifs sur les pages importantes, qui aident l'utilisateur et les moteurs de recherche à mieux comprendre la page.",""
"Meta description: Plus de 155 caractères","Opportunité","Faible","1","7,690","Pages dont les méta-descriptions dépassent la limite configurée. Les caractères au-delà de cette limite risquent d'être tronqués dans les résultats de recherche de Google.","Rédigez des méta-descriptions concises afin que les mots importants ne soient pas tronqués dans les résultats de recherche et ne soient pas visibles pour les utilisateurs.",""
"Sécurité: En-tête HSTS manquant","Avertissement","Faible","33","73,330","URL qui n'ont pas l'en-tête de réponse HSTS. L'en-tête de réponse HTTP Strict-Transport-Security (HSTS) indique aux navigateurs que l'accès au site doit se faire uniquement par HTTPS, plutôt que par HTTP. Si un site Web accepte une connexion HTTP, avant d'être redirigé vers HTTPS, les visiteurs continueront initialement à communiquer via HTTP. L'en-tête HSTS indique au navigateur de ne jamais charger en HTTP et de convertir automatiquement toutes les requêtes en HTTPS.","L'en-tête HSTS doit être utilisé sur toutes les pages pour indiquer au navigateur qu'il doit toujours demander les pages via HTTPS, plutôt que via HTTP.",""
"Contenu: Lisibilité difficile","Opportunité","Faible","2","15,380","Le contenu de la page est difficile à lire et plus adapté aux lycéens diplômés selon la formule du score de lisibilité de Flesch. Il contient des phrases longues avec des mots complexes qui sont généralement plus difficiles à lire et à comprendre.","Pensez à améliorer la lisibilité du contenu pour votre audience cible. Un contenu avec des phrases plus courtes et des mots moins complexes est souvent plus facile à lire et à comprendre.",""
"Title des pages: Plus de 561 pixels","Opportunité","Moyenne","10","76,920","Pages dont le titre dépasse la limite de longueur en pixels estimée par Google pour les titres dans les résultats de recherche. La longueur d'extrait de Google est en fait basée sur des limites en pixels, plutôt que sur une longueur en caractères. Le SEO Spider tente de faire correspondre les derniers points de troncature en pixels dans les SERP, mais il s'agit d'une approximation et Google les ajuste fréquemment.","Rédigez des titres de page concis pour éviter que des mots importants ne soient tronqués dans les résultats de recherche, qu'ils ne soient pas visibles pour les utilisateurs et qu'ils aient éventuellement moins de poids dans les résultats.",""
"Sécurité: En-tête Secure Referrer-Policy manquant","Avertissement","Faible","33","73,330","URL qui n'ont pas les politiques « no-referrer-when-downgrade », « strict-origin-when-cross-origin », « no-referrer » ou « strict-origin » dans l'en-tête Referrer-Policy. Lorsque vous utilisez le protocole HTTPS, il est important que les URL ne fuient pas dans les requêtes non HTTPS. Cela peut exposer les utilisateurs à des attaques de type « man in the middle », car n'importe qui sur le réseau peut les voir.","Envisagez de définir une politique de référent de type « strict-origin-when-cross-origin ». Cela permet de conserver une grande partie de l'utilité du référent, tout en atténuant le risque de fuite de données entre les origines.",""
"Codes de réponse: Internes, erreur du client (4xx)","Problème","Élevée","12","24,000","URL internes avec une erreur côté client. Cela indique qu'un problème est survenu lors de la demande d'URL et peut inclure des réponses telles que 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests et plus encore. La réponse 404 « Page Not Found » est la plus courante et est souvent considérée comme un lien brisé. Affichez les URL liées à des erreurs en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Interne > Liens entrants Erreur du client (4xx).","Tous les liens d'un site Web devraient idéalement aboutir à des URL 200 « OK ». Les erreurs telles que 404 ou 410 doivent être mises à jour à leur emplacement correct, supprimées et redirigées le cas échéant. Une erreur 403 Forbidden se produit lorsqu'un serveur Web refuse l'accès à la demande du SEO Spider et peut souvent être résolue en remplaçant le User-Agent par Chrome via Configuration > User-Agent et en recommençant le crawl.",""
"Sécurité: En-tête X-Content-Type-Options manquant","Avertissement","Faible","33","73,330","URL qui n'ont pas l'en-tête de réponse « X-Content-Type-Options » avec une valeur « nosniff ». En l'absence d'un type MIME, les navigateurs peuvent « renifler » pour deviner le type de contenu et l'interpréter correctement pour les utilisateurs. Cependant, cela peut être exploité par des attaquants qui peuvent essayer de charger du code malveillant, tel que JavaScript, par une image qu'ils ont compromise.","Pour minimiser les problèmes de sécurité, l'en-tête de réponse X-Content-Type-Options doit être fourni et avec la valeur « nosniff » définie. Cela indique aux navigateurs de se fier uniquement à l'en-tête Content-Type et de bloquer tout ce qui ne correspond pas exactement. Cela signifie également que le type de contenu définii doit être précis.",""
